fiscal_year,primary_address_line_1,State_code,X_COORDINATE,Y_COORDINATE,Long,Lat,Community_district,Council-district,Census_tract,Borough_block_lot,NTA,NTA_Name,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,Community_district 1,Police_precinct
2020,560 WEST 169 STREET,NY,1001211,245694,-73.938701,40.841032,112,10,25100,1021250001,MN36,Washington Heights South,6,6,COMMUNITY SCHOOL DISTRICT 06,112,33
2020,425 WEST 130 STREET,NY,997531,236176,-73.95202,40.814914,109,9,21703,1019570010,MN06,Manhattanville,5,5,COMMUNITY SCHOOL DISTRICT 05,109,26
2020,143 BAXTER STREET,NY,984714,201104,-73.998326,40.71866,102,1,4100,1002360038,MN24,SoHo-TriBeCa-Civic Center-Little Italy,2,2,COMMUNITY SCHOOL DISTRICT 02,102,5
2020,100 HESTER STREET,NY,986022,200219,-73.993607,40.716231,103,1,1600,1003010003,MN27,Chinatown,2,2,COMMUNITY SCHOOL DISTRICT 02,103,5
2020,185 WADSWORTH AVENUE,NY,1002519,249167,-73.933964,40.850561,112,10,27100,1021650026,MN35,Washington Heights North,6,6,COMMUNITY SCHOOL DISTRICT 06,112,34
2020,2121 5 AVENUE,NY,1001087,234266,-73.939178,40.809665,111,9,20600,1017550001,MN03,Central Harlem North-Polo Grounds,5,5,COMMUNITY SCHOOL DISTRICT 05,111,25
2020,293 EAST BROADWAY,NY,988726,199497,-73.983854,40.714248,103,1,202,1002880001,MN28,Lower East Side,1,1,COMMUNITY SCHOOL DISTRICT 01,103,7
2020,411 PEARL STREET,NY,983793,198427,-74.000851,40.711441,101,1,2900,1001130100,MN27,Chinatown,2,2,NULL,101,5
2020,293 EAST BROADWAY,NY,988726,199497,-73.983854,40.714248,103,1,202,1002880001,MN28,Lower East Side,1,1,COMMUNITY SCHOOL DISTRICT 01,103,7
2020,144-176 EAST 128 STREET,NY,1002117,232805,-73.935461,40.805653,111,9,24200,1017760020,MN34,East Harlem North,5,75,CITYWIDE SPECIAL EDUCATION,111,25
2020,439 WEST 49TH STREET,NY,986932,217497,-73.990318,40.763655,104,3,12700,1010590015,MN15,Clinton,2,2,NULL,104,18
2020,123 RIDGE STREET,NY,988749,201282,-73.983769,40.719148,103,1,2201,1003440001,MN28,Lower East Side,1,1,COMMUNITY SCHOOL DISTRICT 01,103,7
2020,100 ATTORNEY STREET,NY,988653,200908,-73.984116,40.718121,103,1,1402,1003430001,MN28,Lower East Side,1,1,COMMUNITY SCHOOL DISTRICT 01,103,7
2020,511 WEST 182ND STREET,NY,1003342,248712,-73.930991,40.849311,112,10,26900,1021550035,MN35,Washington Heights North,6,6,COMMUNITY SCHOOL DISTRICT 06,112,34
2020,150 WEST 105 STREET,NY,993771,230412,-73.965611,40.799098,107,7,18900,1018590001,MN12,Upper West Side,3,3,COMMUNITY SCHOOL DISTRICT 03,107,24
2020,421 EAST 106 STREET,NY,1001217,226932,-73.938727,40.789535,111,8,16200,1017000001,MN33,East Harlem South,4,4,COMMUNITY SCHOOL DISTRICT 04,111,23
2020,6 EDGECOMBE AVENUE,NY,998878,237020,-73.947151,40.817228,110,9,22102,1019600001,MN03,Central Harlem North-Polo Grounds,5,5,COMMUNITY SCHOOL DISTRICT 05,110,32
2020,41 WEST 117 STREET,NY,998622,231708,-73.948088,40.802649,110,9,19000,1016010001,MN11,Central Harlem South,3,3,COMMUNITY SCHOOL DISTRICT 03,110,28
2020,334 GREENWICH STREET,NY,981234,201421,-74.01088,40.71953,101,1,3900,1001420025,MN24,SoHo-TriBeCa-Civic Center-Little Italy,2,2,COMMUNITY SCHOOL DISTRICT 02,101,1
2020,421 EAST  88 STREET,NY,998849,222709,-73.947287,40.777948,108,5,14402,1015680008,MN32,Yorkville,2,2,COMMUNITY SCHOOL DISTRICT 02,108,19
2020,93 NAGLE AVENUE,NY,1004283,252536,-73.927578,40.859804,112,10,28300,1021730001,MN35,Washington Heights North,6,6,COMMUNITY SCHOOL DISTRICT 06,112,34
2020,1750 AMSTERDAM AVENUE,NY,998752,240403,-73.947599,40.826514,109,7,23300,1020780019,MN04,Hamilton Heights,6,6,COMMUNITY SCHOOL DISTRICT 06,109,30
2020,250 WEST 127 STREET,NY,998395,234568,-73.948902,40.810499,110,9,22400,1019320010,MN03,Central Harlem North-Polo Grounds,5,5,COMMUNITY SCHOOL DISTRICT 05,110,28
2020,319 EAST 117 STREET,NY,1001999,229837,-73.935895,40.797507,111,8,18800,1016890005,MN34,East Harlem North,4,4,COMMUNITY SCHOOL DISTRICT 04,111,25
2020,2005 MADISON AVENUE,NY,1001216,233302,-73.938714,40.807019,111,9,20600,1017520022,MN03,Central Harlem North-Polo Grounds,5,5,NULL,111,25
2020,1458 YORK AVENUE,NY,997893,219891,-73.950745,40.770215,108,5,13200,1014890001,MN31,Lenox Hill-Roosevelt Island,2,2,COMMUNITY SCHOOL DISTRICT 02,108,19
2020,499 WEST 133 STREET,NY,997404,237198,-73.952476,40.817719,109,9,21303,1019710001,MN06,Manhattanville,5,5,COMMUNITY SCHOOL DISTRICT 05,109,26
2020,34 WEST 118 STREET,NY,999002,231643,-73.9467,40.8025,110,9,19000,1016010001,MN11,Central Harlem South,3,75,CITYWIDE SPECIAL EDUCATION,110,28
2020,163 WEST  97 STREET,NY,992980,228978,-73.96847,40.795163,107,7,18500,1018520099,MN12,Upper West Side,3,3,COMMUNITY SCHOOL DISTRICT 03,107,24
2020,401 WEST 164 STREET,NY,1001602,244076,-73.9373,40.8366,112,10,24301,1021110024,MN36,Washington Heights South,6,6,COMMUNITY SCHOOL DISTRICT 06,112,33
2020,234 WEST 109 STREET,NY,993677,231707,-73.965949,40.802653,107,7,19500,1018800013,MN09,Morningside Heights,3,3,COMMUNITY SCHOOL DISTRICT 03,107,24
2020,132 WEST  89 STREET,NY,991849,226705,-73.972557,40.788925,107,6,17300,1012190047,MN12,Upper West Side,3,3,COMMUNITY SCHOOL DISTRICT 03,107,24
2020,220 EAST  76 STREET,NY,995931,220373,-73.957827,40.771541,108,4,13400,1014300005,MN31,Lenox Hill-Roosevelt Island,2,2,COMMUNITY SCHOOL DISTRICT 02,108,19
2020,1573 MADISON AVENUE,NY,998513,228429,-73.948488,40.793649,111,8,17401,1016120050,MN33,East Harlem South,4,84,OFFICE OF CHARTER SCHOOLS,111,23
2020,110 EAST  88 STREET,NY,996548,223746,-73.955594,40.780798,108,4,14802,1015167502,MN40,Upper East Side-Carnegie Hill,2,75,CITYWIDE SPECIAL EDUCATION,108,19
2020,439 WEST 49TH STREET,NY,986932,217497,-73.990318,40.763655,104,3,12700,1010590015,MN15,Clinton,2,84,OFFICE OF CHARTER SCHOOLS,104,18
2020,19 EAST 103 STREET,NY,997700,227938,-73.951425,40.792302,111,8,16800,1016090007,MN33,East Harlem South,4,4,COMMUNITY SCHOOL DISTRICT 04,111,23
2020,509 WEST 129 STREET,NY,996616,236300,-73.9553,40.8153,109,7,21900,1019840033,MN06,Manhattanville,5,5,COMMUNITY SCHOOL DISTRICT 05,109,26
2020,306 FORT WASHINGTON AVENUE,NY,1000910,247307,-73.939785,40.845459,112,10,26300,1021420154,MN36,Washington Heights South,6,6,COMMUNITY SCHOOL DISTRICT 06,112,33
2020,40 IRVING PLACE,NY,987835,207189,-73.987064,40.735361,106,2,5000,1008720057,MN21,Gramercy,2,84,OFFICE OF CHARTER SCHOOLS,106,13
2020,175 WEST 134 STREET,NY,1000109,235986,-73.942706,40.814388,110,9,22800,1019190006,MN03,Central Harlem North-Polo Grounds,5,5,COMMUNITY SCHOOL DISTRICT 05,110,32
2020,4862 BROADWAY,NY,1005285,255051,-73.924,40.8667,112,10,29100,1022340007,MN01,Marble Hill-Inwood,6,6,COMMUNITY SCHOOL DISTRICT 06,112,34
2020,1458 YORK AVENUE,NY,997893,219891,-73.950745,40.770215,108,5,13200,1014890001,MN31,Lenox Hill-Roosevelt Island,2,2,COMMUNITY SCHOOL DISTRICT 02,108,19
2020,12-18 ELLWOOD STREET,NY,1004083,252330,-73.928301,40.85924,112,10,28300,1021710036,MN35,Washington Heights North,6,6,COMMUNITY SCHOOL DISTRICT 06,112,34
2020,370 WEST 120TH STREET,NY,996469,233500,-73.955861,40.80757,110,9,25700,1019460001,MN11,Central Harlem South,3,3,COMMUNITY SCHOOL DISTRICT 03,110,28
2020,219 EAST 109 STREET,NY,1000322,228326,-73.941955,40.793363,111,8,18000,1016590012,MN34,East Harlem North,4,4,COMMUNITY SCHOOL DISTRICT 04,111,23
2020,419 EAST  66 STREET,NY,995959,217554,-73.957731,40.763804,108,5,11600,1014610007,MN31,Lenox Hill-Roosevelt Island,2,2,COMMUNITY SCHOOL DISTRICT 02,108,19
2020,327 CHERRY STREET,NY,988287,198359,-73.985438,40.711125,103,1,201,1002450007,MN28,Lower East Side,1,1,COMMUNITY SCHOOL DISTRICT 01,103,7
2020,20 WEST 112 STREET,NY,998053,230182,-73.950146,40.798461,110,9,18600,1015950015,MN11,Central Harlem South,3,3,COMMUNITY SCHOOL DISTRICT 03,110,28
